SYMBOL	n_ptv	n_missense	n_syn	n_nonsyn
ASCC2	0	0	1	0
ASCC3	0	1	0	1
ASCL3	0	0	1	0
ASH1L	2	0	0	2
ASIC1	0	0	1	0
ASIC4	0	1	0	1
ASNA1	1	0	0	1
ASPA	0	1	0	1
ASPDH	1	0	0	1
ASPG	0	2	0	2
ASPHD1	0	0	1	0
ASTN2	0	1	0	1
ASUN	0	1	0	1
ASXL1	2	0	0	2
ASXL3	0	0	1	0
ATAD1	1	0	0	1
ATAD3A	0	0	1	0
ATAD3B	0	1	0	1
ATCAY	0	1	1	1
ATF6B	0	1	0	1
ATG16L1	0	1	0	1
ATG2A	0	1	0	1
ATG3	0	0	1	0
ATHL1	0	1	0	1
ATIC	0	1	0	1
ATM	0	2	0	2
ATP10B	0	1	0	1
ATP11C	0	1	0	1
ATP12A	0	1	0	1
ATP13A3	0	0	1	0
ATP13A5	1	0	0	1
ATP1B2	1	0	0	1
ATP2A1	0	0	1	0
ATP2A2	0	2	0	2
ATP2B4	0	1	0	1
ATP2C2	0	0	1	0
ATP4B	0	1	0	1
ATP5G1	0	1	0	1
ATP5J2-PTCD1	0	0	1	0
ATP6AP1L	0	1	0	1
ATP6V0C	1	0	0	1
ATP6V0D2	1	0	0	1
ATP6V1B2	0	1	0	1
ATP6V1C1	0	1	0	1
ATP6V1C2	0	1	0	1
ATP8B2	0	1	1	1
ATR	1	0	1	1
ATRNL1	0	1	0	1
ATRX	0	1	0	1
ATXN1	0	1	0	1
ATXN2L	0	1	0	1
AXDND1	0	1	0	1
AXIN2	0	1	0	1
AZI1	0	0	1	0
B3GALT5	0	1	0	1
B3GAT3	0	1	0	1
B3GNT7	0	1	0	1
B4GALT3	0	0	1	0
BABAM1	0	0	0	0
BACE2	0	1	0	1
BACH2	0	1	0	1
BAG3	0	1	0	1
BAG4	0	1	0	1
BAG6	0	0	1	0
BAI1	1	0	0	1
BAI2	0	2	1	2
BAIAP2	1	0	0	1
BAIAP3	0	1	1	1
BANP	0	1	0	1
BARD1	0	0	1	0
BARHL2	0	1	0	1
BAZ1B	0	1	0	1
BAZ2B	1	2	0	3
BBS12	0	1	0	1
BBS2	0	1	0	1
BCAP29	0	1	0	1
BCAS3	0	0	0	0
BCKDHA	0	1	0	1
BCL2L11	0	1	0	1
BCL3	0	1	0	1
BCL7C	0	1	0	1
BCL9	0	2	0	2
BCL9L	0	1	0	1
BCMO1	0	1	1	1
BCOR	2	1	0	3
BCORL1	1	0	1	1
