SYMBOL	n_ptv	n_missense	n_syn	n_nonsyn
FAM65C	0	1	0	1
FAM71C	0	1	0	1
FAM72A	1	0	0	1
FAM73A	0	1	0	1
FAM76A	0	1	0	1
FAM83G	0	1	0	1
FAM83H	0	1	0	1
FAM84A	1	0	0	1
FAM89A	0	1	0	1
FAM8A1	0	1	0	1
FAN1	0	1	0	1
FANCF	0	0	1	0
FANCM	1	0	0	1
FARSB	0	1	0	1
FASN	0	0	0	0
FAT1	0	0	1	0
FAT2	1	0	0	1
FAT3	0	1	0	1
FAT4	0	3	0	3
FAXC	0	1	0	1
FBN1	0	3	1	3
FBN2	0	1	1	1
FBN3	0	2	0	2
FBXO10	0	2	0	2
FBXO11	0	1	0	1
FBXO16	0	1	0	1
FBXO21	0	1	0	1
FBXO31	0	1	0	1
FBXO4	0	1	0	1
FBXO8	0	1	0	1
FCAR	1	0	0	1
FCGBP	0	0	1	0
FCHO1	0	1	1	1
FCHSD1	0	1	1	1
FCN3	0	0	1	0
FEM1A	0	0	1	0
FEM1B	0	0	1	0
FERMT1	0	1	0	1
FERMT2	0	1	0	1
FEZ1	1	1	0	2
FEZ2	1	0	0	1
FGF12	0	1	0	1
FGF14	0	1	1	1
FGF6	0	0	1	0
FGF8	0	0	1	0
FGFR2	0	2	0	2
FGFR3	0	1	0	1
FGFR4	0	1	0	1
FHL3	0	1	0	1
FIG4	0	1	0	1
FIGF	0	1	0	1
FIGN	1	0	0	1
FILIP1L	0	1	0	1
FIP1L1	0	1	0	1
FKBP1B	0	0	1	0
FKBP8	0	0	1	0
FKBP9	0	0	1	0
FLG	0	1	0	1
FLII	0	2	0	2
FLNC	0	1	0	1
FLOT2	1	0	0	1
FLRT3	0	1	0	1
FLT1	1	0	0	1
FLT3	0	1	1	1
FLT4	2	1	0	3
FLYWCH1	0	1	0	1
FMN1	0	2	1	2
FMNL1	1	0	0	1
FMO5	0	0	0	0
FN1	0	1	0	1
FN3K	1	1	1	2
FNBP4	0	0	1	0
FNDC1	0	1	0	1
FNDC3A	0	1	1	1
FNDC3B	0	0	1	0
FNIP1	0	0	1	0
FOXA2	0	1	0	1
FOXC1	0	1	0	1
FOXD1	0	1	0	1
FOXI1	0	1	0	1
FOXK1	0	1	0	1
FOXK2	0	1	2	1
FOXM1	1	0	1	1
FOXP1	2	1	0	3
FOXP2	0	1	0	1
FOXP4	0	1	0	1
FOXR1	0	1	0	1
FOXRED1	0	1	0	1
FRAS1	0	1	0	1
FREM2	0	1	0	1
FRMD3	0	1	0	1
FRMD5	0	1	0	1
FRMPD2	0	1	0	1
FRY	1	0	1	1
FRYL	3	0	0	3
FRZB	0	1	0	1
FSIP1	0	1	0	1
FTSJ2	0	1	0	1
FTSJ3	1	0	0	1
FUK	1	0	0	1
FUT9	0	0	1	0
FZD3	0	1	0	1
FZD8	0	1	0	1
G6PC	0	0	1	0
GAB3	0	1	0	1
GABRG3	0	1	0	1
GABRP	0	1	0	1
GAD1	0	1	0	1
GALK1	0	1	0	1
GALNT11	0	1	0	1
GALNT14	0	0	1	0
GALNT9	0	1	0	1
GAN	0	2	0	2
GANAB	1	1	0	2
GARNL3	0	1	1	1
GART	0	1	0	1
GAS2L2	0	1	0	1
GATA3	0	1	0	1
GATA4	1	0	0	1
GATA6	3	2	0	5
GATAD2B	1	0	0	1
GBF1	0	0	1	0
GBP5	0	1	0	1
GC	0	1	0	1
GCDH	0	1	0	1
GCN1L1	0	1	0	1
GCNT3	0	1	0	1
GDA	0	1	0	1
GDNF	0	1	0	1
GDPD4	0	1	0	1
GEMIN4	0	0	1	0
GFI1B	0	2	0	2
GGA3	0	1	0	1
GGN	0	1	0	1
GGT6	0	0	2	0
GIGYF1	0	1	0	1
GIMAP6	0	0	1	0
GIT1	0	0	2	0
GJA1	0	1	0	1
GJA10	0	1	0	1
GLA	1	0	0	1
GLCCI1	0	0	1	0
GLIPR1L2	0	0	1	0
GLIS1	0	1	0	1
GLIS3	0	2	0	2
GLTSCR1	1	0	0	1
GLUL	0	1	0	1
GLYAT	0	1	0	1
GLYR1	0	1	0	1
GNA15	0	1	0	1
GNAI3	1	0	0	1
GNAO1	0	0	0	0
GNAT3	0	1	0	1
GNB1	0	1	0	1
GNB2	0	1	0	1
GNE	0	1	0	1
GNG12	0	0	1	0
GNPAT	0	1	0	1
GNPDA2	0	1	0	1
GNPTAB	0	1	0	1
GOLGA3	0	1	0	1
GOLGA5	0	2	0	2
GON4L	0	0	1	0
GOPC	0	1	0	1
GORAB	0	0	0	0
GORASP1	0	1	0	1
GOSR1	0	1	0	1
GOSR2	1	0	0	1
GPAM	0	1	0	1
GPATCH1	0	1	0	1
GPATCH8	0	2	0	2
GPBAR1	1	1	0	2
GPHN	0	1	1	1
GPN3	0	0	1	0
GPR1	0	1	0	1
GPR116	0	2	0	2
GPR124	0	1	0	1
GPR125	0	1	1	1
GPR126	0	1	0	1
GPR135	0	0	1	0
GPR150	1	0	0	1
GPR151	0	0	1	0
GPR156	0	1	0	1
GPR158	0	0	1	0
GPR162	0	1	0	1
GPR182	0	1	0	1
GPR20	0	3	0	3
GPR35	0	1	0	1
GPR50	0	0	1	0
GPR98	0	5	0	5
GPRC5B	0	3	0	3
GPRC5C	0	2	0	2
GPS1	0	1	0	1
GPSM2	1	0	0	1
GPT	0	1	0	1
GPT2	0	1	0	1
GRAMD1C	0	0	1	0
GRAMD4	0	1	0	1
GREB1L	1	0	0	1
GRHL2	1	0	0	1
GRIA4	0	1	0	1
GRIK1	1	0	0	1
GRIK3	0	2	0	2
GRIK4	0	0	1	0
GRIN2B	0	0	1	0
GRIN2C	0	1	1	1
GRINA	1	0	0	1
GRIP1	0	0	1	0
GRM2	0	1	0	1
GRM5	0	1	0	1
GRM6	0	0	1	0
GRSF1	1	0	0	1
GSE1	0	1	0	1
GSN	0	0	1	0
GSPT1	0	1	0	1
GSPT2	0	0	1	0
GTDC1	0	1	0	1
GTF2H1	0	0	0	0
GTF2H3	0	1	0	1
GTF2IRD1	0	2	0	2
GTF3A	0	0	1	0
GTF3C1	0	1	0	1
GTPBP1	0	1	0	1
GTPBP4	1	0	0	1
GUCY1A3	0	1	0	1
GUCY1B3	0	0	1	0
GYLTL1B	0	1	0	1
GZF1	0	0	1	0
H2BFM	0	1	0	1
H3F3A	0	1	0	1
HAO2	0	1	0	1
HAP1	0	1	0	1
HAPLN4	0	1	0	1
HAS3	0	0	1	0
HAUS3	0	2	0	2
HCAR3	0	0	1	0
HCFC1	0	1	1	1
HDAC11	0	0	1	0
HDAC7	1	1	0	2
HDAC8	1	1	0	2
HDDC3	0	1	0	1
HDLBP	0	0	1	0
HECTD1	1	1	0	2
HECTD3	0	1	0	1
HECTD4	0	2	0	2
HELQ	0	1	0	1
HELZ	0	1	0	1
HEPACAM	0	2	0	2
HEPACAM2	0	1	0	1
HEPH	0	0	1	0
HERC1	0	1	0	1
HERC2	0	1	0	1
HERC4	1	0	0	1
HEXDC	0	0	1	0
HEY1	0	1	0	1
HEY2	0	1	0	1
HGS	0	1	0	1
HHIP	1	0	0	1
HHIPL2	0	0	1	0
HHLA3	1	0	0	1
HID1	0	1	0	1
HIP1	0	1	1	1
HIP1R	0	3	0	3
HIRA	1	0	1	1
HIST1H2BB	0	0	1	0
HIST1H2BG	0	1	0	1
HIST1H4C	0	1	0	1
HIVEP1	0	0	1	0
HIVEP2	0	4	1	4
HIVEP3	0	1	0	1
HK1	1	0	0	1
HK2	0	1	0	1
HK3	0	0	1	0
HKR1	0	1	0	1
HLTF	0	1	0	1
HMCN1	0	4	0	4
HMMR	0	1	0	1
HMX3	0	0	1	0
HNF4A	0	1	1	1
HNRNPA1L2	0	1	0	1
HNRNPF	0	0	1	0
HNRNPK	2	0	0	2
HNRNPU	1	1	0	2
HOXA10	0	1	0	1
HOXA7	0	1	0	1
HOXD10	0	1	0	1
HPS3	0	1	0	1
HPS5	0	0	1	0
HR	0	1	1	1
HRH1	0	0	1	0
HSD11B1	0	1	0	1
HSD17B4	0	1	0	1
HSD3B2	0	1	0	1
HSF2BP	0	1	0	1
HSH2D	0	1	0	1
HSP90AA1	0	2	0	2
HSP90B1	0	0	2	0
HSPA8	0	1	0	1
HSPG2	0	2	0	2
HTATSF1	0	1	0	1
HTR5A	0	1	0	1
HUWE1	0	1	0	1
HYAL1	0	1	0	1
HYAL4	0	1	0	1
HYDIN	0	1	0	1
IAPP	1	1	0	2
IARS	0	1	0	1
IARS2	0	0	1	0
ICA1L	0	1	0	1
IDH3B	0	1	0	1
IDH3G	0	1	0	1
IDI2	0	1	0	1
IFITM2	0	0	1	0
IFNA4	0	1	0	1
IFNGR2	0	1	0	1
IFNK	1	0	0	1
IFRD2	0	1	0	1
IFT140	0	1	1	1
IFT172	0	0	1	0
IGDCC4	0	1	0	1
IGF1R	0	1	0	1
IGF2BP2	0	1	0	1
IGF2R	0	3	0	3
IGHMBP2	0	1	0	1
IGSF10	0	1	0	1
IGSF21	0	0	0	0
IGSF22	0	0	1	0
IGSF8	0	0	1	0
IK	0	1	0	1
IKZF1	0	1	0	1
IKZF2	0	1	0	1
IKZF4	0	1	0	1
IKZF5	0	1	0	1
IL11	1	0	0	1
IL11RA	0	1	0	1
IL12RB1	0	1	0	1
IL12RB2	0	2	0	2
IL17RC	0	0	1	0
IL19	0	1	0	1
IL1RAP	0	1	0	1
IL1RL2	0	1	0	1
IL21R	0	1	0	1
IL2RB	0	1	0	1
IL31RA	0	1	0	1
IL3RA	1	0	0	1
ILK	0	0	1	0
IMMP1L	0	1	0	1
IMPACT	0	1	0	1
IMPDH1	0	1	1	1
IMPDH2	0	1	0	1
IMPG2	0	0	1	0
ING3	0	0	1	0
ING5	0	1	0	1
INPP4B	0	1	0	1
INPP5A	0	0	1	0
INPP5D	0	1	0	1
INPP5E	0	1	0	1
INPP5F	1	0	0	1
INSC	0	1	0	1
INTS1	0	0	1	0
INTS2	0	0	1	0
INTS6	0	1	0	1
IPMK	0	0	1	0
IPO4	0	1	0	1
IPO8	0	1	0	1
IPO9	0	1	0	1
IPP	0	1	0	1
IQCB1	1	0	0	1
IQCH	0	0	0	0
IQGAP1	0	2	0	2
IRF2BPL	0	1	0	1
IRF5	0	1	0	1
IRF7	0	0	1	0
IRGQ	0	0	1	0
ITGA1	0	1	0	1
ITGA4	0	1	1	1
ITGA7	0	1	0	1
ITGA9	0	0	1	0
ITGAE	0	1	0	1
ITGB4	0	1	1	1
ITGB7	0	1	0	1
ITK	0	1	0	1
ITM2A	0	1	0	1
ITPR1	0	2	0	2
ITPR3	0	2	0	2
ITPRIPL1	0	1	0	1
ITSN1	0	1	0	1
ITSN2	0	2	0	2
IVNS1ABP	1	0	0	1
IWS1	0	0	1	0
JAG1	2	2	0	4
JAG2	0	1	0	1
JAKMIP2	0	1	0	1
JAKMIP3	0	0	1	0
JDP2	0	1	0	1
JMJD1C	0	2	1	2
JMJD7-PLA2G4B	0	1	0	1
JPH2	0	1	0	1
JPH3	0	1	0	1
JUP	0	1	0	1
KALRN	0	1	0	1
KANK1	0	1	0	1
KANK4	0	0	1	0
KANSL1	2	0	0	2
KANSL3	0	1	0	1
KARS	0	1	0	1
KAT2B	0	2	0	2
KAT5	0	1	0	1
KAT6A	3	1	0	4
KAT6B	2	0	0	2
KBTBD12	0	1	0	1
KBTBD13	0	0	1	0
KCNA10	0	0	1	0
KCNA3	1	0	0	1
KCNA4	0	1	0	1
KCNB2	0	0	1	0
KCNC4	0	1	0	1
KCNH3	0	1	0	1
KCNH5	0	1	0	1
KCNH6	0	1	0	1
KCNIP4	0	0	1	0
KCNJ11	0	0	1	0
KCNJ12	0	1	0	1
KCNJ14	0	1	0	1
KCNJ15	0	1	0	1
KCNJ16	0	1	0	1
KCNJ4	0	0	1	0
KCNJ5	1	0	0	1
KCNJ8	0	1	1	1
KCNK4	0	1	0	1
KCNMA1	0	1	0	1
KCNMB1	0	1	0	1
KCNN3	0	1	0	1
KCNQ1	0	2	0	2
KCNQ2	0	2	1	2
KCNU1	0	0	1	0
KCTD20	0	1	0	1
KCTD5	0	0	1	0
KCTD9	0	1	0	1
KDM3A	0	1	0	1
KDM3B	0	0	2	0
KDM4B	0	0	2	0
KDM4E	0	1	0	1
KDM5A	0	3	0	3
KDM5B	4	0	0	4
KDM6A	0	1	0	1
KDM6B	1	0	0	1
KHDC1L	0	0	1	0
KHSRP	0	0	1	0
KIAA0100	1	0	0	1
KIAA0196	0	3	0	3
KIAA0355	0	1	0	1
KIAA0368	0	1	0	1
KIAA0408	0	0	1	0
KIAA0430	1	1	0	2
KIAA0513	0	1	0	1
KIAA0753	0	1	0	1
KIAA0947	0	0	1	0
KIAA1009	0	1	0	1
KIAA1107	0	0	1	0
KIAA1109	0	3	1	3
KIAA1161	0	1	0	1
KIAA1211	0	1	0	1
KIAA1211L	1	0	0	1
KIAA1217	0	0	1	0
KIAA1324	0	1	0	1
KIAA1456	1	0	1	1
KIAA1549	0	1	1	1
KIAA1598	0	1	0	1
KIAA1715	0	1	0	1
KIAA1958	0	1	0	1
KIF11	1	0	0	1
KIF14	0	1	0	1
KIF15	0	2	0	2
KIF16B	0	1	0	1
KIF1A	0	0	1	0
KIF22	0	0	1	0
KIF24	0	1	0	1
KIF26A	0	1	0	1
KIF5A	0	1	0	1
KIF5B	0	2	0	2
KIF5C	0	1	0	1
KIF6	0	1	0	1
KIFC2	0	0	1	0
KIRREL3	0	0	0	0
KIT	0	0	1	0
KLC3	0	1	0	1
KLF12	0	0	1	0
KLF2	0	1	0	1
KLF4	0	1	0	1
KLF5	0	0	1	0
KLHDC1	0	0	1	0
KLHDC2	0	0	1	0
KLHDC4	0	1	1	1
KLHL17	0	1	0	1
KLHL23	1	0	0	1
KLHL29	0	1	0	1
KLHL5	0	1	0	1
KLK4	0	1	0	1
KLRB1	1	0	0	1
KMT2A	5	2	0	7
KMT2B	1	1	1	2
KMT2C	1	1	1	2
KMT2D	14	4	0	18
KNDC1	0	1	1	1
KNOP1	1	0	0	1
KPNA1	0	1	0	1
KPNA5	0	0	1	0
KPNB1	0	1	0	1
KRBA1	0	2	0	2
KRBA2	1	0	0	1
KRI1	0	0	2	0
KRT1	0	1	0	1
KRT13	0	2	0	2
KRT15	0	1	0	1
KRT20	0	1	0	1
KRT3	0	1	0	1
KRT32	0	0	1	0
KRT74	0	1	1	1
KRT8	0	0	1	0
KRT84	0	0	1	0
KRTAP20-1	0	1	0	1
KSR2	0	1	0	1
L3HYPDH	0	0	1	0
LAMA1	0	1	0	1
LAMA3	0	0	1	0
LAMA5	0	2	0	2
LAMB1	0	2	0	2
LAMB2	0	1	1	1
LAMB4	1	0	0	1
LAMC1	0	3	1	3
LAMP5	0	1	0	1
LARP1	0	1	0	1
LARP4	0	1	0	1
LARP7	0	1	0	1
LARS2	0	1	0	1
LATS1	0	1	0	1
LBR	0	0	0	0
LBX1	0	1	0	1
LCA5L	0	2	0	2
LCE1D	0	0	1	0
LCE4A	0	1	0	1
LCP1	1	0	0	1
LDB1	0	0	1	0
LDHA	0	1	0	1
LDLR	0	1	0	1
LDLRAP1	0	1	0	1
LEF1	0	1	0	1
LEKR1	0	1	0	1
LENG1	0	1	0	1
LENG9	0	1	0	1
LEPROTL1	0	0	1	0
LGALS4	0	1	0	1
LGR5	0	0	1	0
LGR6	1	0	0	1
LHX2	1	0	0	1
LIFR	0	0	1	0
LIG1	1	0	0	1
LIG3	0	0	0	0
LIG4	0	1	0	1
LILRB5	0	1	0	1
LIMS2	0	1	1	1
LIN7A	0	0	1	0
LINC00283	0	0	0	0
LIPJ	1	0	1	1
LIPT2	0	1	0	1
LLGL1	0	1	0	1
LMAN1	0	1	0	1
LMBRD2	0	1	0	1
LMF2	0	1	0	1
LMLN	0	0	0	0
LMTK2	0	0	1	0
LNX1	0	1	0	1
LONRF1	0	1	0	1
LOXHD1	0	1	1	1
LOXL2	0	1	0	1
LOXL3	0	1	0	1
LPA	0	1	0	1
LPAR1	0	0	1	0
LPHN1	0	1	0	1
LPHN3	0	2	1	2
LPIN2	0	1	0	1
LPIN3	0	1	0	1
LPPR3	0	1	0	1
LRAT	0	0	1	0
LRBA	0	1	1	1
LRCH1	0	1	0	1
LRCH4	0	1	0	1
LRIG2	0	1	0	1
LRIT2	0	0	1	0
LRP1	0	2	0	2
LRP1B	0	3	0	3
LRP2	1	2	0	3
LRP5	0	0	1	0
LRP5L	0	1	0	1
LRP6	0	1	0	1
LRPPRC	0	1	0	1
LRRC15	0	2	0	2
LRRC16A	0	0	1	0
LRRC32	0	2	0	2
LRRC37B	0	1	0	1
LRRC4	0	1	0	1
LRRC42	0	1	0	1
LRRC43	0	1	1	1
LRRC45	0	1	0	1
LRRC46	1	0	0	1
LRRC4C	0	1	1	1
LRRC66	0	1	0	1
LRRC7	0	1	0	1
LRRC71	0	0	1	0
LRRC8D	0	0	1	0
LRRFIP1	0	0	0	0
LRRIQ3	0	1	0	1
LRRK1	0	1	1	1
LRTM2	0	1	0	1
LTBP1	0	1	0	1
LTK	0	1	0	1
LTV1	0	0	1	0
LYN	0	1	0	1
LYPLA2	0	0	1	0
LYSMD2	0	1	0	1
LYST	0	1	0	1
LZTR1	0	3	0	3
LZTS1	0	2	0	2
LZTS2	0	1	0	1
MACF1	0	1	0	1
MAGEA12	0	1	0	1
MAGEC1	0	0	1	0
MAGEC3	0	1	0	1
MAGEE1	0	1	1	1
MAGEF1	0	1	0	1
MAGI2	0	0	1	0
MAK16	0	1	0	1
MALSU1	0	1	0	1
MAMDC4	0	1	0	1
MAML2	0	1	0	1
MAN2A2	0	1	0	1
MAN2C1	0	1	0	1
MAP10	0	2	0	2
MAP1B	0	1	0	1
MAP1LC3B	0	1	0	1
MAP1S	1	0	0	1
MAP2	1	3	0	4
MAP2K7	0	1	0	1
MAP3K19	1	0	0	1
MAP3K3	1	0	0	1
MAP3K7	0	2	0	2
MAP3K7CL	0	0	1	0
MAP3K9	0	1	0	1
MAP4	0	0	0	0
MAP4K4	0	1	0	1
MAP6	0	0	1	0
MAP7D1	0	1	0	1
MAP7D2	0	1	0	1
MAP9	0	1	0	1
MAPK15	0	1	0	1
MAPK8IP2	0	0	1	0
MAPK8IP3	0	1	0	1
MAPK9	0	0	1	0
MAPKBP1	0	0	1	0
MAPRE2	0	1	0	1
MAPT	0	0	1	0
MARCH2	0	1	0	1
MARCH5	0	1	0	1
MASP1	0	0	1	0
MAST2	0	2	0	2
MAST3	0	1	0	1
MASTL	0	3	0	3
MATK	0	0	1	0
MATN1	0	1	0	1
MATN2	1	0	0	1
MAVS	1	1	0	2
MBOAT2	0	1	0	1
MBOAT7	0	0	1	0
MCFD2	1	0	0	1
MCM6	0	1	0	1
MDC1	0	1	0	1
MDN1	0	1	0	1
MEA1	1	0	0	1
MECOM	0	1	0	1
MED12	1	0	0	1
MED12L	0	1	0	1
MED13	0	1	0	1
MED13L	2	2	0	4
MED20	1	0	0	1
MED24	0	1	1	1
MEF2BNB	0	1	0	1
MEGF6	0	1	0	1
MEIS2	2	0	0	2
MEP1B	0	1	0	1
METTL25	0	1	0	1
MFGE8	0	0	1	0
MFSD2A	0	1	0	1
MFSD3	0	0	0	0
MFSD8	0	1	1	1
MGA	0	1	0	1
MGAT5B	0	0	1	0
MIB2	0	0	1	0
MICALL1	0	1	0	1
MICALL2	0	1	0	1
MID1	1	0	0	1
MINK1	0	2	1	2
MIPEP	0	0	1	0
MKI67	1	1	0	2
MKRN2	0	2	0	2
MKRN3	0	1	0	1
MKX	0	1	0	1
MLANA	0	1	0	1
MLF1	0	1	0	1
MLH1	0	0	1	0
MLH3	0	1	0	1
MLIP	0	0	1	0
MLK4	0	1	0	1
MLLT4	0	1	0	1
MLXIPL	0	1	0	1
MMADHC	0	1	0	1
MMP14	0	0	1	0
MMP16	0	0	1	0
MMP25	0	1	0	1
MMP26	0	0	0	0
MMP9	0	2	0	2
MOCS2	0	0	1	0
MOGAT2	1	0	0	1
MOGS	0	0	1	0
MON1A	0	0	1	0
MON2	0	1	0	1
MORC2	0	0	1	0
MORC3	0	1	0	1
MORF4L1	0	1	0	1
MORN4	1	0	0	1
MORN5	0	1	0	1
MOS	0	1	0	1
MOV10	0	1	0	1
MOV10L1	0	0	1	0
MPEG1	0	1	0	1
MPG	0	0	0	0
MPI	0	1	0	1
MPP4	1	0	0	1
MPPE1	0	1	0	1
MPPED2	0	1	0	1
MPZL3	0	1	0	1
MR1	0	1	0	1
MRAS	0	1	0	1
MRC2	0	0	1	0
MREG	0	1	0	1
MRGPRE	0	0	1	0
MRGPRX1	0	0	1	0
MROH1	0	1	0	1
MROH2B	0	0	1	0
MROH6	0	0	2	0
MROH7	1	1	0	2
MROH8	0	0	1	0
MRPL1	0	1	0	1
MRPL15	0	0	1	0
MRPL28	0	0	1	0
MRPS27	0	1	0	1
MRPS31	0	1	0	1
MRVI1	0	0	1	0
MSC	0	1	0	1
MSH5	1	2	0	3
MSI1	0	1	0	1
MSL2	0	1	0	1
MSL3	1	0	0	1
MSLN	0	1	0	1
MSLNL	1	0	0	1
MTDH	0	0	1	0
MTERFD2	0	1	0	1
MTF1	0	0	1	0
MTHFD1	0	1	0	1
MTHFSD	0	1	0	1
MTMR2	0	0	1	0
MTMR3	0	1	0	1
MTOR	1	2	0	3
MTPAP	0	1	0	1
MTRR	0	1	0	1
MTSS1	0	1	0	1
MTSS1L	0	0	1	0
MTUS2	0	1	0	1
MUC12	0	1	0	1
MUC16	0	3	3	3
MUC17	0	1	1	1
MUC2	0	1	0	1
MUC4	0	1	1	1
MUM1	0	1	0	1
MVD	1	0	0	1
MVK	1	0	0	1
MX1	1	0	0	1
MYBPC2	0	1	0	1
MYBPH	0	1	0	1
MYCL	0	1	0	1
MYEF2	0	1	0	1
MYH11	1	1	0	2
MYH6	1	4	0	5
MYH7B	1	1	0	2
MYH8	0	1	0	1
MYH9	0	1	1	1
MYL2	0	1	0	1
MYO15A	0	2	0	2
MYO16	0	2	0	2
MYO18A	0	1	0	1
MYO18B	0	0	1	0
MYO1C	0	1	0	1
MYO1F	0	0	1	0
MYO1G	0	3	0	3
MYO3B	0	1	0	1
MYO5A	0	1	0	1
MYO6	0	0	1	0
MYO7A	0	1	0	1
MYO7B	0	3	0	3
MYO9B	0	1	0	1
MYOCD	0	0	1	0
MYOF	0	1	0	1
MYOG	0	1	1	1
MYOM1	0	2	0	2
MYOM2	0	1	2	1
MYOZ3	0	1	0	1
MYRF	0	4	0	4
N4BP1	0	1	0	1
N4BP2	0	1	0	1
NAA15	2	0	0	2
NAA16	0	1	0	1
NAA20	0	1	0	1
NAALADL1	0	1	0	1
NAB1	0	1	0	1
NADSYN1	0	1	0	1
NAE1	0	1	0	1
NAGA	0	1	0	1
NAGPA	0	1	0	1
NALCN	1	2	0	3
NARG2	0	1	0	1
NARS	0	1	0	1
NAT10	0	1	0	1
NAT8L	1	0	0	1
NAV2	0	0	2	0
NAV3	0	1	0	1
NBAS	0	1	0	1
NBPF3	0	0	1	0
NCALD	0	1	0	1
NCAPD3	0	2	1	2
NCAPG	0	0	1	0
NCAPG2	0	1	0	1
NCAPH2	0	1	0	1
NCCRP1	0	1	0	1
NCKAP5	0	1	0	1
NCKAP5L	0	1	0	1
NCOA1	0	1	0	1
NCOA3	0	1	0	1
NCOR1	0	0	1	0
NCOR2	0	1	0	1
NDC80	0	1	0	1
NDRG2	0	1	0	1
NDST1	0	1	0	1
NDST2	0	1	0	1
NDUFA13	0	0	1	0
NDUFB4	0	1	0	1
NEB	0	2	1	2
NEBL	0	1	0	1
NEDD1	0	0	1	0
NEIL2	0	1	0	1
NEK1	0	1	1	1
NEK10	0	1	0	1
NEMF	0	1	0	1
NEO1	0	2	0	2
NETO1	0	0	1	0
NEU1	0	1	0	1
NEU2	0	0	1	0
NEURL2	0	1	0	1
NEURL4	0	1	1	1
NEUROG3	0	0	1	0
NF1	0	2	2	2
NFAT5	0	1	0	1
NFATC2	0	1	0	1
NFE2L1	0	1	0	1
NFE2L2	0	2	0	2
NFE2L3	0	0	1	0
NFIX	1	0	0	1
NFKB1	0	0	1	0
NFKB2	0	1	0	1
NFKBIB	0	1	0	1
NFXL1	0	0	1	0
NFYA	0	0	1	0
NGFR	0	2	0	2
NHLRC3	0	1	0	1
NHSL1	0	1	0	1
NID2	0	1	0	1
NIM1K	0	0	1	0
NIN	1	0	0	1
NISCH	0	1	2	1
NIT1	0	1	0	1
NKD2	0	1	0	1
NKTR	0	1	1	1
NKX2-2	0	1	0	1
NKX6-2	0	1	0	1
NLGN1	0	1	0	1
NLN	0	1	0	1
NLRC3	0	1	0	1
NLRC5	0	1	0	1
NLRP12	0	0	1	0
NLRP7	0	1	1	1
NOD1	1	0	1	1
NOD2	0	1	0	1
NOL9	1	0	0	1
NOMO1	0	2	0	2
NONO	1	0	0	1
NOP16	0	0	0	0
NOP2	1	1	0	2
NOP58	0	2	1	2
NOS1	0	1	0	1
NOS3	0	1	0	1
NOSIP	0	0	1	0
NOTCH1	3	4	0	7
NOTCH2	0	4	0	4
NOVA1	1	0	0	1
NOX1	0	1	0	1
NOX5	0	1	0	1
NOXA1	0	1	0	1
NPAS1	1	0	0	1
NPAS3	0	0	0	0
NPC1	0	1	0	1
NPDC1	0	0	1	0
NPHP3	0	1	0	1
NPLOC4	0	0	1	0
NPNT	0	1	0	1
NPR2	0	1	0	1
NQO1	0	1	0	1
NR1D2	0	1	0	1
NR2F2	1	1	0	2
NR4A1	0	0	1	0
NR6A1	0	2	0	2
NRAS	0	1	0	1
NRCAM	0	1	0	1
NRF1	0	1	0	1
NRG1	0	0	1	0
NRG3	0	1	0	1
NRIP1	0	0	1	0
NRROS	0	1	1	1
NRXN1	0	0	1	0
NRXN2	0	1	1	1
NSD1	7	5	0	12
NSG1	0	0	1	0
NSUN6	0	0	1	0
NTM	1	0	0	1
NTN3	0	1	0	1
NTRK1	0	1	0	1
NUB1	0	1	0	1
NUBP2	0	0	1	0
NUCB1	0	1	0	1
NUDC	0	0	1	0
NUDCD1	0	1	0	1
NUDT21	0	1	0	1
NUDT7	0	1	0	1
NUF2	0	1	0	1
NUFIP2	0	1	0	1
NUGGC	0	0	0	0
NUP133	0	1	0	1
NUP155	0	0	1	0
NUP210L	0	1	0	1
NUP54	0	0	1	0
NUP62	0	1	0	1
NUP85	0	1	0	1
NWD1	0	1	1	1
NXF3	0	1	0	1
NXPE3	1	0	0	1
NYAP2	0	0	1	0
NYNRIN	0	1	0	1
OAS2	0	0	1	0
OASL	0	1	0	1
OAZ2	0	0	1	0
OAZ3	1	0	0	1
OBSCN	0	5	2	5
OBSL1	0	2	0	2
OCA2	0	1	0	1
ODF2	0	0	1	0
OFD1	0	1	0	1
OGFRL1	0	1	0	1
OMA1	1	0	0	1
ONECUT2	1	0	0	1
OPALIN	0	1	0	1
OPCML	0	1	0	1
OPHN1	0	0	1	0
OPLAH	0	0	1	0
OPRM1	0	1	0	1
OPTN	0	1	1	1
OR10H5	0	1	0	1
OR13D1	0	1	0	1
OR14C36	0	1	0	1
OR1B1	0	0	1	0
OR1E2	0	0	1	0
OR1I1	0	0	1	0
OR1L3	0	1	0	1
OR2B2	0	1	1	1
OR2B6	0	1	0	1
OR2D2	0	1	0	1
OR2Z1	0	1	1	1
OR4B1	0	1	0	1
OR4D6	0	0	1	0
OR52I2	0	1	0	1
OR52N4	0	1	0	1
OR5M1	0	1	0	1
OR5T2	0	1	0	1
OR6C65	0	1	0	1
OR6C68	0	1	0	1
OR7G2	0	0	1	0
OR8A1	0	0	1	0
OR8B4	0	1	0	1
OR9K2	0	1	0	1
ORC5	0	1	0	1
OSBP	0	2	0	2
OSBPL10	0	1	0	1
OSBPL2	0	0	1	0
OSBPL8	0	0	1	0
OSBPL9	0	1	0	1
