hgnc	chrom	lof_indel	lof_snv	missense_indel	missense_snv	p_lof	p_func	fdr_lof	bonferroni_lof
ALK	2	1	0	0	0	1.48953170668373e-05	0.000119243007395135	0.000101464337224101	0.0377447334473656
ALOX15B	17	0	0	0	1	1	4.58037674003895e-05	1	1
ALPK2	18	0	0	0	1	1	0.000127210202151244	1	1
ALPL	1	0	0	0	1	1	4.36386433167417e-05	1	1
ALPP	2	0	0	0	1	1	5.23250705672548e-05	1	1
ALPPL2	2	0	0	0	1	1	5.1043065706803e-05	1	1
ALS2	2	1	0	0	1	1.66682919707276e-05	5.09017060624653e-09	0.000109423450398507	0.0422374518538237
ALS2CL	3	0	0	0	1	1	7.36343045628407e-05	1	1
ALS2CR11	2	0	0	0	2	1	1.05444271714738e-09	1	1
ALX4	11	0	0	0	1	1	3.11265273567139e-05	1	1
AMBRA1	11	0	1	0	0	1.10730458725035e-05	9.32987804576295e-05	8.37496897584924e-05	0.0280590982409238
AMELX	X	0	0	0	1	1	3.03635976863639e-06	1	1
AMOTL1	11	0	0	0	1	1	6.96876123756618e-05	1	1
AMPD3	11	0	0	0	1	1	6.08167026114668e-05	1	1
AMT	3	0	0	0	1	1	3.17124468594615e-05	1	1
AMZ2	17	0	0	0	1	1	2.20733857778719e-05	1	1
ANGPT4	20	0	0	0	1	1	3.7848108845819e-05	1	1
ANGPTL5	11	0	0	0	1	1	2.25454729110493e-05	1	1
ANGPTL7	1	0	0	0	1	1	2.55549777395362e-05	1	1
ANK2	4	0	1	0	0	3.39002056108181e-05	0.000245115722118724	0.000203749432737601	0.0859031210178131
ANK3	10	1	1	0	0	6.09112783496421e-10	3.63864653682048e-08	3.42998176306651e-08	1.54349179337993e-06
ANKAR	2	0	0	0	1	1	7.78138817071396e-05	1	1
ANKH	5	0	0	0	1	1	3.90696425026678e-05	1	1
ANKMY2	7	0	0	0	1	1	2.66775666987845e-05	1	1
ANKRD1	10	0	0	0	1	1	2.22332804595199e-05	1	1
ANKRD11	16	3	0	0	0	1.5676570127354e-15	1.86934622720952e-12	2.83745919305107e-13	3.9724428702715e-12
ANKRD12	18	1	0	0	0	1.74831299600436e-05	0.000111189483672922	0.000113595516201924	0.0443022513187505
ANKRD32	5	0	0	0	1	1	2.59455335567633e-05	1	1
ANKRD33	12	1	0	0	0	3.99963500617234e-06	3.38560300379296e-05	6.07946138686368e-05	0.0101350751056407
ANKRD36	2	0	0	0	1	1	2.04294079976087e-05	1	1
ANKRD50	4	0	0	0	1	1	8.49078147884788e-05	1	1
ANKS1B	12	0	0	0	1	1	7.3223774585895e-05	1	1
ANO10	3	0	0	0	1	1	3.52813460384639e-05	1	1
ANO2	12	0	0	0	1	1	6.90001398567207e-05	1	1
ANO3	11	0	0	0	1	1	6.52846950428197e-05	1	1
ANP32A	15	0	0	0	1	1	1.60223175226199e-05	1	1
ANXA6	5	0	0	0	1	1	4.8699171010783e-05	1	1
AP3B1	5	0	0	0	1	1	6.4610818015558e-05	1	1
APBA3	19	0	0	0	1	1	3.30191626355603e-05	1	1
APBB1	11	0	0	0	2	1	1.40783527146152e-09	1	1
APLP1	19	0	0	0	1	1	5.42606431716545e-05	1	1
APOA1BP	1	1	0	0	0	2.52055175307983e-06	2.37663938834907e-05	6.07946138686368e-05	0.00638707814230428
APOB	2	0	0	0	2	1	3.40732515341963e-08	1	1
APOBEC3C	22	0	0	0	1	1	1.47971586587154e-05	1	1
APPL2	12	0	0	0	1	1	4.31919573234393e-05	1	1
AQPEP	5	0	0	0	2	1	2.35041987363708e-09	1	1
ARAP3	5	0	0	0	1	1	0.000118601287807384	1	1
ARCN1	11	1	0	0	0	5.95440831311664e-06	3.45147951255785e-05	6.33407054906252e-05	0.0150884706654376
AREL1	14	0	0	0	1	1	5.84750615801336e-05	1	1
ARFGEF2	20	0	0	0	4	1	8.89706194108104e-18	1	1
ARGLU1	13	1	0	0	0	4.26493266298693e-06	3.24570935607018e-05	6.07946138686368e-05	0.0108073393680089
ARHGAP20	11	0	0	0	1	1	7.03780971607226e-05	1	1
ARHGAP21	10	1	0	0	0	1.88701055528785e-05	0.000128496426770238	0.000121055310053149	0.047816847470994
ARHGAP26	5	0	0	0	1	1	5.81237406169815e-05	1	1
ARHGAP32	11	0	0	0	1	1	0.000135206968389186	1	1
ARHGAP35	19	1	0	0	0	1.15602020400384e-05	0.000102510227526173	8.46634449984316e-05	0.0292935519694573
ARHGAP4	X	0	0	0	1	1	1.75625229728607e-05	1	1
ARHGAP40	20	0	0	0	1	1	0	1	1
ARHGAP44	17	0	0	0	1	1	4.92270359257115e-05	1	1
ARHGAP8	22	1	0	0	0	4.17682820739761e-06	3.87464693185292e-05	6.07946138686368e-05	0.0105840826775455
ARHGAP9	12	0	0	0	1	1	5.93911657016807e-05	1	1
ARHGEF10L	1	0	0	0	1	1	9.93621133756642e-05	1	1
ARHGEF16	1	0	0	0	1	1	3.88721285315857e-05	1	1
ARHGEF2	1	1	0	0	0	1.1103155233775e-05	8.37118171784711e-05	8.37496897584924e-05	0.0281353953623858
ARHGEF3	3	0	0	0	1	1	3.85769406282621e-05	1	1
ARHGEF4	2	0	0	0	1	1	5.32497096686011e-05	1	1
ARHGEF40	14	0	0	0	1	1	0.000117934255148344	1	1
ARHGEF5	7	0	0	0	1	1	0.000109778290469458	1	1
ARHGEF7	13	0	0	0	1	1	6.06122485822271e-05	1	1
ARID1A	1	0	0	0	1	1	0.000136364278953355	1	1
ARID1B	6	2	1	0	1	9.97370980484556e-16	1.54809841591389e-17	2.29758005867988e-13	2.52733806454786e-12
ARID3C	9	0	0	0	1	1	3.23419478996937e-05	1	1
ARL11	13	0	1	0	0	1.33032277583998e-06	1.4633136751453e-05	4.95740869702723e-05	0.00337103791397852
ARMC3	10	0	0	0	1	1	5.26101527816175e-05	1	1
ARSI	5	0	0	0	1	1	5.21439494228639e-05	1	1
ASAP3	1	0	0	0	2	1	2.17550490062874e-09	1	1
ASB17	1	0	0	0	1	1	1.61595105060391e-05	1	1
ASCC3	6	0	0	0	1	1	0.000134731098610227	1	1
ASH1L	1	2	0	0	0	3.81964054238936e-10	1.75029210140837e-08	2.25092305451503e-08	9.67896913441465e-07
ASIC4	2	0	0	0	1	1	4.77822427467254e-05	1	1
ASNA1	19	0	1	0	0	2.70860913409006e-06	2.62979971208347e-05	6.07946138686368e-05	0.00686361554578421
ASPA	17	0	0	0	1	1	1.96922511318563e-05	1	1
ASPDH	19	1	0	0	0	2.04075024527144e-06	1.50972233031008e-05	6.07946138686368e-05	0.00517126112151783
ASPG	14	0	0	0	2	1	6.96845930601089e-10	1	1
ASTN2	9	0	0	0	1	1	9.11346142143523e-05	1	1
ASUN	12	0	0	0	1	1	4.59828410017793e-05	1	1
ASXL1	20	0	2	0	0	8.1889031866904e-11	5.38146939395792e-09	6.10314137502161e-09	2.07506806750735e-07
ATAD1	10	1	0	0	0	3.57498361380403e-06	2.30228012911302e-05	6.07946138686368e-05	0.00905900847737941
ATAD3B	1	0	0	0	1	1	5.89613739156108e-05	1	1
ATCAY	19	0	0	0	1	1	2.87143648653645e-05	1	1
ATF6B	6	0	0	0	1	1	5.2696811253875e-05	1	1
ATG16L1	2	0	0	0	1	1	4.12907339999442e-05	1	1
ATG2A	11	0	0	0	1	1	0.000154764387929024	1	1
ATHL1	11	0	0	0	1	1	4.52311288379205e-05	1	1
ATIC	2	0	0	0	1	1	3.94333213339241e-05	1	1
ATM	11	0	0	0	2	1	1.59568396788788e-08	1	1
ATP10B	5	0	0	0	1	1	9.97662942608287e-05	1	1
ATP11C	X	0	0	0	1	1	1.54995291443302e-05	1	1
ATP12A	13	0	0	0	1	1	7.16826900071793e-05	1	1
ATP13A5	3	0	1	0	0	1.16587428585553e-05	7.40244627822923e-05	8.48944092056871e-05	0.0295432544035791
ATP1B2	17	0	1	0	0	3.45708544667533e-06	2.51329606224559e-05	6.07946138686368e-05	0.0087602545218753
ATP2A2	12	0	0	0	2	1	2.63753136530799e-09	1	1
ATP2B4	1	0	0	0	1	1	8.47736028529174e-05	1	1
ATP4B	13	0	0	0	1	1	2.22439318599689e-05	1	1
ATP5G1	17	0	0	0	1	1	9.19314679440529e-06	1	1
ATP6AP1L	5	0	0	0	1	1	1.58112731542271e-05	1	1
ATP6V0C	16	1	0	0	0	1.17814386887895e-06	1.43762144758374e-05	4.68078816563969e-05	0.00298541656373927
ATP6V0D2	8	0	1	0	0	3.6519629035282e-06	2.39085424059477e-05	6.07946138686368e-05	0.00925407399754045
ATP6V1B2	8	0	0	0	1	1	3.83351545566609e-05	1	1
ATP6V1C1	8	0	0	0	1	1	2.28007152113969e-05	1	1
ATP6V1C2	2	0	0	0	1	1	2.90791476687679e-05	1	1
ATP8B2	1	0	0	0	1	1	9.13568016805137e-05	1	1
ATR	3	1	0	0	0	2.56580116098339e-05	0.000157166336892942	0.000158193190801263	0.065017401419319
ATRNL1	10	0	0	0	1	1	8.15917256239553e-05	1	1
ATRX	X	0	0	0	1	1	3.215430618284e-05	1	1
ATXN1	6	0	0	0	1	1	6.7311671875846e-05	1	1
ATXN2L	16	0	0	0	1	1	7.85227314326169e-05	1	1
AXDND1	1	0	0	0	1	1	5.87122736176372e-05	1	1
AXIN2	17	0	0	0	1	1	6.80448550865747e-05	1	1
B3GALT5	21	0	0	0	1	1	2.25737076114915e-05	1	1
B3GAT3	11	0	0	0	1	1	2.85597933319845e-05	1	1
B3GNT7	2	0	0	0	1	1	3.8531117537517e-05	1	1
BACE2	21	0	0	0	1	1	3.61254564823257e-05	1	1
BACH2	6	0	0	0	1	1	6.21639717701113e-05	1	1
BAG3	10	0	0	0	1	1	4.44170900986203e-05	1	1
BAG4	8	0	0	0	1	1	2.8685837850373e-05	1	1
BAI1	8	1	0	0	0	1.03793481721177e-05	0.000101075130025316	8.09269792866041e-05	0.0263012682681463
BAI2	1	0	0	0	2	1	7.32332014954386e-09	1	1
BAIAP2	17	1	0	0	0	4.57770059162845e-06	4.61368904543708e-05	6.11032225490884e-05	0.0115998932991865
BAIAP3	16	0	0	0	1	1	9.65312724018372e-05	1	1
BANP	16	0	0	0	1	1	4.52409374946793e-05	1	1
BARHL2	1	0	0	0	1	1	3.07777516411783e-05	1	1
BAZ1B	7	0	0	0	1	1	9.50932460503996e-05	1	1
BAZ2B	2	0	1	0	2	2.06807124431811e-05	3.34529867898724e-13	0.000131012313327552	0.0524049253310209
BBS12	4	0	0	0	1	1	4.07278015648565e-05	1	1
BBS2	16	0	0	0	1	1	5.11504721188019e-05	1	1
BCAP29	7	0	0	0	1	1	1.32668377478428e-05	1	1
BCKDHA	19	0	0	0	1	1	4.06271809307769e-05	1	1
BCL2L11	2	0	0	0	1	1	1.17111201761794e-05	1	1
BCL3	19	0	0	0	1	1	3.29619131012708e-05	1	1
BCL7C	16	0	0	0	1	1	1.98996048970266e-05	1	1
BCL9	1	0	0	1	1	1	4.48392642507487e-09	1	1
BCL9L	11	0	0	0	1	1	0.000116405526984054	1	1
BCMO1	16	0	0	0	1	1	3.84284114129836e-05	1	1
BCOR	X	0	2	0	1	4.98949454047228e-12	3.79750160235024e-15	7.90211197847297e-10	1.26433791655568e-08
BCORL1	X	0	1	0	0	3.20618527574607e-06	2.78134166858513e-05	6.07946138686368e-05	0.00812447348874055
BEND3	6	0	0	0	1	1	7.52349039798732e-05	1	1
BHLHB9	X	1	0	0	0	8.04038238016369e-07	6.85696326258502e-06	3.98358460222423e-05	0.00203743289513348
BICD1	12	0	0	0	2	1	2.17401042250275e-09	1	1
BIRC6	2	0	0	0	1	1	0.000264183276200823	1	1
BLNK	10	0	0	0	1	1	3.14462985122772e-05	1	1
BMP1	8	0	0	0	1	1	8.99088332732862e-05	1	1
BMP5	6	0	0	0	2	1	4.79712468284768e-10	1	1
BMP6	6	1	0	0	0	4.60033604297574e-06	4.05034241168745e-05	6.11032225490884e-05	0.0116572515329005
BMPER	7	1	0	0	0	6.74700537722814e-06	5.13078625330592e-05	6.61927014622567e-05	0.0170969116258961
BMPR2	2	0	0	0	1	1	6.65264966447821e-05	1	1
BMS1	10	0	0	0	1	1	8.42626478660865e-05	1	1
BOD1L1	4	0	0	0	2	1	1.35491016816209e-08	1	1
BOK	2	0	0	0	1	1	1.70417844814829e-05	1	1
BPIFC	22	0	0	0	1	1	3.12033804798062e-05	1	1
BPTF	17	0	0	0	1	1	0.000172254915217693	1	1
BRAF	7	0	0	0	3	1	1.75303943624892e-14	1	1
BRD2	6	0	0	0	1	1	5.43504297828344e-05	1	1
BRD4	19	0	0	0	2	1	5.29741046780922e-09	1	1
BRF1	14	0	0	0	1	1	5.39988970648377e-05	1	1
BRINP3	1	0	0	0	2	1	1.44645119622918e-09	1	1
BRIP1	17	0	0	0	1	1	7.2575596624271e-05	1	1
BRMS1L	14	0	0	1	0	1	2.11810347372653e-05	1	1
BRPF1	3	0	0	0	1	1	0.000101178677236504	1	1
BRPF3	6	0	0	0	1	1	8.81168889080751e-05	1	1
BRWD1	21	0	0	0	1	1	0.000137472719664763	1	1
BRWD3	X	0	0	0	2	1	3.47089137607869e-10	1	1
BSG	19	0	0	0	1	1	3.45178561723999e-05	1	1
BSN	3	0	0	0	1	1	0.000298315685285068	1	1
BTBD6	14	0	0	0	1	1	3.63939198092747e-05	1	1
BTN3A3	6	0	0	0	2	1	7.33005477319341e-10	1	1
BUB1	2	0	0	0	1	1	6.23866994029852e-05	1	1
BZRAP1	17	0	0	0	1	1	0.000129448663824261	1	1
C10orf90	10	0	0	0	1	1	4.97820415820497e-05	1	1
C11orf30	11	0	0	0	1	1	8.24360449660229e-05	1	1
C11orf57	11	0	0	0	1	1	1.74443144685769e-05	1	1
C12orf56	12	0	0	0	1	1	2.90844685313725e-05	1	1
C13orf35	13	0	0	0	1	1	9.51374243285853e-06	1	1
C15orf39	15	0	0	0	1	1	7.19532026787006e-05	1	1
C17orf47	17	0	0	0	1	1	3.56269615449568e-05	1	1
C18orf8	18	0	0	0	1	1	4.77616648307182e-05	1	1
C19orf35	19	0	0	0	1	1	3.08336438498018e-05	1	1
C19orf40	19	0	0	0	1	1	1.54363328400984e-05	1	1
C1QTNF2	5	0	0	0	1	1	2.92845163501806e-05	1	1
C1RL	12	0	0	0	2	1	6.0939097740845e-10	1	1
C1orf168	1	0	0	0	1	1	4.02782697156164e-05	1	1
C1orf194	1	0	0	0	1	1	1.09673074064344e-05	1	1
C1orf198	1	0	1	0	0	2.45493938597438e-06	2.30600895457484e-05	6.07946138686368e-05	0.00622081640405908
C1orf65	1	0	0	0	1	1	5.35649311363762e-05	1	1
C1orf94	1	0	0	0	1	1	2.75238916814688e-05	1	1
C20orf112	20	1	0	0	0	4.53326414779687e-06	4.1266651813106e-05	6.11032225490884e-05	0.0114872913505173
C20orf194	20	0	0	0	1	1	7.30673250003726e-05	1	1
C20orf26	20	0	0	0	1	1	8.87699400760126e-05	1	1
C21orf62	21	0	0	0	1	1	1.39697981049984e-05	1	1
C22orf39	22	0	0	0	1	1	5.65470885515593e-06	1	1
C2orf42	2	0	0	0	1	1	3.81132638138286e-05	1	1
C2orf43	2	0	0	0	1	1	1.93901306382818e-05	1	1
C3	19	0	1	0	0	1.70589349851118e-05	0.000137992716198845	0.000111410673330601	0.0432273412522733
C3orf70	3	0	0	0	1	1	1.82700278516653e-05	1	1
C5orf42	5	0	0	0	1	1	0.000124050232858628	1	1
C5orf60	5	0	0	0	1	1	0	1	1
C6orf120	6	0	0	0	1	1	2.06401364899147e-05	1	1
C7orf33	7	0	0	0	1	1	1.24476915197488e-05	1	1
C8orf33	8	0	0	0	1	1	1.94621707940059e-05	1	1
C8orf58	8	0	0	0	1	1	2.72345416147576e-05	1	1
C9orf50	9	0	0	0	1	1	2.50129144405959e-05	1	1
C9orf64	9	0	0	0	1	1	2.66250191533308e-05	1	1
C9orf84	9	0	0	0	1	1	7.62261541781653e-05	1	1
CA13	8	0	1	0	0	2.67412231280081e-06	1.74397202948736e-05	6.07946138686368e-05	0.00677622594063726
CA3	8	0	0	0	1	1	1.80098573496481e-05	1	1
CABIN1	22	0	0	0	2	1	1.26196910997547e-08	1	1
CACNA1C	12	0	0	0	2	1	1.46577995684641e-08	1	1
CACNA1E	1	0	0	0	2	1	1.45810112118125e-08	1	1
CACNA1H	16	0	0	1	2	1	7.24355301646339e-13	1	1
CACNA1I	22	0	0	0	1	1	0.000138841834489071	1	1
CACNA2D4	12	0	0	0	1	1	8.27005553853035e-05	1	1
CAD	2	0	0	0	3	1	9.49065756636377e-13	1	1
CADM1	11	0	0	0	1	1	2.95588285538643e-05	1	1
CADPS	3	0	0	0	1	1	9.24642097695212e-05	1	1
CALCRL	2	0	0	0	1	1	2.62553859024705e-05	1	1
CALML6	1	0	0	0	1	1	1.19514752260002e-05	1	1
CAMK2A	5	0	1	0	0	5.57037304683171e-06	3.98522992510897e-05	6.33407054906252e-05	0.0141153253006716
CAMSAP1	9	0	0	0	1	1	0.000107178537475384	1	1
CAND1	12	0	0	0	1	1	6.97762284051533e-05	1	1
CAPG	2	0	0	0	1	1	2.53604677313428e-05	1	1
CAPZB	1	0	0	0	1	1	1.86918945937107e-05	1	1
CARD14	17	0	1	0	1	9.08082476980579e-06	2.95291996540026e-09	7.59432672167917e-05	0.0230108099666879
CASC1	12	0	0	1	0	1	3.94440765450309e-05	1	1
CASC5	15	0	0	0	1	1	0.00012550942456986	1	1
CASK	X	0	1	0	0	2.29199993996645e-06	1.43065292233807e-05	6.07946138686368e-05	0.00580792784787497
CASKIN2	17	0	0	0	1	1	9.57680849044574e-05	1	1
CASP9	1	0	0	0	1	1	2.75568746870859e-05	1	1
CASZ1	1	0	0	0	1	1	0.000154400608987005	1	1
CATSPERB	14	0	0	0	1	1	6.73398388975436e-05	1	1
CATSPERG	19	0	1	0	0	9.35853331866007e-06	6.71866869053622e-05	7.61076252761163e-05	0.0237145234294846
CBL	11	0	1	0	0	9.22741325781114e-06	5.86744381410985e-05	7.61076252761163e-05	0.0233822651952934
CBLC	19	0	0	0	1	1	3.65695575390765e-05	1	1
CBX8	17	0	0	0	1	1	3.63513149931432e-05	1	1
CC2D2A	4	0	0	0	1	1	9.34823492389459e-05	1	1
CCAR1	10	0	0	0	1	1	7.51737854528987e-05	1	1
CCAR2	8	0	0	0	1	1	6.42582457241851e-05	1	1
CCDC112	5	0	0	0	1	1	2.27943209330187e-05	1	1
CCDC113	16	0	0	0	1	1	2.79560910332949e-05	1	1
CCDC129	7	0	1	0	3	7.75881156491412e-06	4.72030631221569e-19	6.99609876125517e-05	0.0196608285054924
CCDC13	3	0	0	0	1	1	5.15681752478913e-05	1	1
CCDC144NL	17	0	0	0	1	1	1.68584796983265e-05	1	1
CCDC154	16	0	0	0	1	1	0	1	1
CCDC158	4	0	0	0	1	1	6.93820793476541e-05	1	1
CCDC171	9	0	0	0	1	1	8.01407361796299e-05	1	1
CCDC180	9	0	0	0	1	1	9.8507985969568e-05	1	1
CCDC36	3	0	0	0	1	1	3.11678367624192e-05	1	1
CCDC53	12	0	0	0	1	1	8.33726394286971e-06	1	1
CCDC82	11	0	0	0	1	1	3.30271164954388e-05	1	1
CCDC85A	2	0	0	0	1	1	3.44140623178085e-05	1	1
CCDC86	11	0	0	0	1	1	3.39686171392035e-05	1	1
CCDC88A	2	0	0	0	2	1	5.36092048463379e-09	1	1
CCDC88C	14	0	0	0	1	1	0.000145235240740092	1	1
CCDC92	12	0	0	0	1	1	2.78239486052886e-05	1	1
CCM2	7	0	0	0	1	1	3.40768782703573e-05	1	1
CCNB3	X	0	0	0	1	1	1.70172652231659e-05	1	1
CCNL1	3	0	1	0	0	5.4595410980248e-06	3.61497066372072e-05	6.33407054906252e-05	0.0138344771423949
CCR2	3	1	0	0	0	2.83274821924552e-06	2.38064950278747e-05	6.07946138686368e-05	0.00717818398756814
CCR4	3	0	0	0	1	1	2.12153233153643e-05	1	1
CCSER1	4	0	1	0	0	6.09563032910445e-06	4.03145654159824e-05	6.34596744522814e-05	0.0154463272539507
CCT3	1	0	0	0	1	1	4.11472885763828e-05	1	1
CD109	6	0	0	0	1	1	7.94655156415488e-05	1	1
CD164	6	0	0	0	1	1	1.5538062017601e-05	1	1
CD1C	1	0	1	0	1	3.46341428304982e-06	2.13399787326945e-10	6.07946138686368e-05	0.00877629179324824
CD2	1	0	0	0	1	1	2.1300996186303e-05	1	1
CD244	1	0	0	0	1	1	2.14626271876851e-05	1	1
CD300LB	17	0	0	0	1	1	1.65712740740908e-05	1	1
CD3EAP	19	0	0	0	1	1	3.29299413569818e-05	1	1
CD46	1	0	0	0	1	1	2.58686050760815e-05	1	1
CD5	11	0	0	0	1	1	3.5581598636759e-05	1	1
CD86	3	0	0	0	1	1	2.00359504835294e-05	1	1
CD97	19	0	0	0	1	1	6.75413581957181e-05	1	1
CDADC1	13	0	0	0	1	1	2.82948330191253e-05	1	1
CDAN1	15	1	0	0	0	1.12686503041702e-05	8.25419304940651e-05	8.41339079245779e-05	0.0285547598707673
CDC14A	1	0	0	0	1	1	3.84626512133123e-05	1	1
CDC27	17	0	1	0	0	8.31593005312298e-06	4.8088176138942e-05	7.13667789591262e-05	0.0210725667546136
CDC42	1	0	0	0	1	1	1.19756659996693e-05	1	1
CDC42BPB	14	0	0	0	1	1	0.000130473399473102	1	1
CDC42EP3	2	0	0	0	1	1	1.57715736822491e-05	1	1
CDH12	5	0	0	0	1	1	5.20826301886335e-05	1	1
CDH13	16	0	0	0	1	1	5.01315888168792e-05	1	1
CDH20	18	0	0	0	1	1	6.2211735542588e-05	1	1
CDH24	14	0	0	0	1	1	6.04354023372717e-05	1	1
CDH3	16	0	0	0	1	1	5.9236065948624e-05	1	1
CDH9	5	0	0	0	1	1	5.30375292898332e-05	1	1
CDHR2	5	0	0	0	1	1	0.000101911709320133	1	1
CDHR4	3	0	0	0	1	1	1.28044850718824e-05	1	1
CDK13	7	0	1	0	5	1.32219358789584e-05	3.96766929353296e-28	9.28663361201077e-05	0.0335043855172807
CDK5R2	2	0	0	0	1	1	3.09634958226346e-05	1	1
CDK5RAP2	9	0	0	0	1	1	0.000118559015375237	1	1
CDKAL1	6	0	0	0	1	1	3.61412029088822e-05	1	1
CDKL2	4	1	0	0	1	4.66985783978963e-06	3.86349680622074e-10	6.1307779113355e-05	0.0118334197660269
CDKN1B	12	0	0	0	1	1	1.86481639589958e-05	1	1
CDKN3	14	0	0	0	1	1	1.24916207402318e-05	1	1
CDR2	16	0	0	0	1	1	3.07852451007448e-05	1	1
CDYL2	16	0	0	0	1	1	3.98316172905699e-05	1	1
CEACAM21	19	0	0	0	1	1	1.9389522095535e-05	1	1
CECR2	22	0	0	0	1	1	0.000103859900905201	1	1
CELF3	1	0	0	0	1	1	3.05803424238243e-05	1	1
CELSR1	22	0	0	0	1	1	0.000268640157873734	1	1
CELSR3	3	0	0	0	1	1	0.000292209813015567	1	1
CENPE	4	0	0	0	1	1	0.000142152978996181	1	1
CEP120	5	0	0	0	1	1	6.18360036777518e-05	1	1
CEP170	1	0	0	0	1	1	9.44712188714111e-05	1	1
CEP170B	14	0	0	0	1	1	0.000101132467614131	1	1
CEP250	20	0	0	0	1	1	0.000154589805893226	1	1
CEP290	12	0	0	0	2	1	5.69905969776299e-09	1	1
CEP85	1	0	0	0	1	1	5.00045775599122e-05	1	1
CEP95	17	1	0	0	0	6.88432537005726e-06	4.64897827506174e-05	6.61927014622567e-05	0.0174448804877251
CES2	16	0	0	0	1	1	4.72281745981616e-05	1	1
CFH	1	0	0	0	2	1	2.89706151688914e-09	1	1
CHAD	17	0	0	0	2	1	4.90110520766493e-10	1	1
CHAF1B	21	0	0	0	1	1	4.06382648225397e-05	1	1
CHAMP1	13	0	1	0	0	5.80585613873676e-06	4.77654082117173e-05	6.33407054906252e-05	0.014712039455559
CHAT	10	0	1	0	0	6.33621917696974e-06	5.0682050921566e-05	6.43414699765319e-05	0.0160559793944413
CHD1	5	0	0	0	1	1	0.000100566849672536	1	1
CHD4	12	0	0	0	8	1	3.62001052566079e-36	1	1
CHD5	1	0	0	0	1	1	0.000158555783645118	1	1
CHD7	8	2	11	0	5	2.14763840500563e-70	2.4915419140659e-83	2.72105785914214e-67	5.44211571828428e-67
CHL1	3	0	0	0	1	1	7.35812389247462e-05	1	1
CHMP4C	8	0	0	0	1	1	1.56875843375239e-05	1	1
CHORDC1	11	0	0	0	1	1	1.91181651174215e-05	1	1
CHRNA2	8	0	0	0	1	1	4.18054247784148e-05	1	1
CHRNB4	15	0	0	0	1	1	3.97120895577781e-05	1	1
CHRNE	17	0	0	0	1	1	4.93102803959241e-05	1	1
CHSY1	15	0	0	0	2	1	1.41740516110610e-09	1	1
CIT	12	0	0	0	1	1	0.000158797679130518	1	1
CLASP2	3	0	0	0	1	1	8.5421679569055e-05	1	1
CLCN7	16	0	0	0	1	1	5.79421024456526e-05	1	1
CLDN4	7	0	0	0	1	1	2.01827130455268e-05	1	1
CLIP3	19	0	0	0	1	1	4.77483662964161e-05	1	1
CLK1	2	0	0	0	1	1	3.37429426820447e-05	1	1
CLK3	15	0	0	0	1	1	4.4237918245187e-05	1	1
CLNK	4	0	0	0	1	1	2.51580373248316e-05	1	1
CLPTM1	19	0	0	0	1	1	5.75438890519972e-05	1	1
CLSTN1	1	0	0	0	1	1	7.74789595157831e-05	1	1
CLSTN3	12	0	0	0	1	1	6.95837862843518e-05	1	1
CLTA	9	0	0	0	1	1	1.83382905240119e-05	1	1
CLTCL1	22	0	0	0	1	1	0.000106444787555779	1	1
CLUH	17	0	0	0	2	1	6.49503219589522e-09	1	1
CMSS1	3	0	0	0	1	1	1.74246717126646e-05	1	1
CNDP1	18	0	0	0	1	1	3.89293078981346e-05	1	1
CNGA2	X	0	0	0	1	1	1.00605303525446e-05	1	1
CNGA3	2	0	0	0	1	1	5.2652806492346e-05	1	1
CNKSR1	1	0	0	0	1	1	5.33348730464018e-05	1	1
CNN1	19	0	0	0	1	1	2.52572863098588e-05	1	1
CNOT1	16	0	1	0	0	2.2933200398086e-05	0.000152392206997996	0.000143134802484606	0.05811272980875
CNOT3	19	0	0	0	1	1	6.12997578746368e-05	1	1
CNOT6	5	0	0	0	1	1	3.41742177658192e-05	1	1
CNPY4	7	0	0	0	1	1	1.77059403937802e-05	1	1
CNTF	11	0	0	0	1	1	1.44322647732814e-05	1	1
CNTLN	9	0	0	0	1	1	8.46739357494117e-05	1	1
CNTN2	1	0	0	0	1	1	8.86613868764995e-05	1	1
CNTN6	3	0	0	0	1	1	6.10161929471809e-05	1	1
COBLL1	2	0	0	0	1	1	6.56109748209561e-05	1	1
COG2	1	0	0	0	1	1	4.89612365244348e-05	1	1
COL11A2	6	0	0	0	1	1	0.000128353419840539	1	1
COL15A1	9	0	1	0	2	1.31917129339356e-05	1.50226775110317e-13	9.28663361201077e-05	0.0334278005745929
COL16A1	1	0	0	0	1	1	0.000112452202411401	1	1
COL20A1	20	0	0	0	1	1	8.84973571174234e-05	1	1
COL23A1	5	1	0	0	0	5.90438130361561e-06	3.20609539044209e-05	6.33407054906252e-05	0.014961702223362
COL4A1	13	0	0	0	1	1	0.00011459209763043	1	1
COL4A2	13	0	0	0	1	1	0.000124081431465774	1	1
COL4A3	2	0	1	0	0	1.62289258556048e-05	0.000103294380077545	0.00010796679773747	0.0411240981181027
COL4A3BP	5	0	0	0	1	1	4.22505175424402e-05	1	1
COL5A3	19	0	0	0	1	1	0.00012457720814088	1	1
COL6A6	3	0	0	0	2	1	1.04143997837694e-08	1	1
COL7A1	3	0	0	0	1	1	0.000248816395968989	1	1
COL8A2	1	0	1	0	0	4.29448929853433e-06	3.89066916433576e-05	6.07946138686368e-05	0.010882235882486
COLGALT1	19	0	0	0	2	1	1.07806560492716e-09	1	1
